"ANACS","Y"
"Auction","Y"
"Colorization","Y"
"Display","Y"
"Donation","Y"
"Gold Plating","Y"
"NGC","Y"
"Other","Y"
"PCGS","Y"
"Photo","Y"
"PMG","Y"
"Promotional","Y"
"QC-CP","Y"
"Sample","Y"
"Training","Y"
"Wholesale","Y"
